Date,wx_temperature_2m_mean,wx_temperature_2m_max,wx_temperature_2m_min,wx_precipitation_sum,wx_precipitation_hours,wx_snowfall_sum,wx_cloud_cover_mean,wx_wind_speed_10m_max,obs_precip_evening
2023-07-10,24.8,29.0,21.1,6.2,10.0,0.0,75,20.7,0.0
2023-07-11,23.0,24.1,20.9,41.1,16.0,0.0,99,19.1,0.6
2023-07-12,24.8,28.1,21.7,2.8,11.0,0.0,97,10.5,0.0
2023-07-13,24.3,25.7,23.3,48.1,18.0,0.0,100,17.7,6.2
2023-07-14,24.4,25.6,23.5,56.5,19.0,0.0,100,22.7,0.0
2023-07-15,24.1,26.0,23.0,35.8,20.0,0.0,100,26.6,0.2
2023-07-16,23.6,25.6,22.4,1.7,10.0,0.0,98,19.0,0.0
2023-07-17,23.9,26.0,22.0,4.4,15.0,0.0,99,16.5,0.0
2023-07-18,23.8,25.5,22.1,15.5,15.0,0.0,91,8.6,0.0
2023-07-19,25.2,30.5,21.5,0.1,1.0,0.0,42,10.6,0.0
2023-07-20,25.6,30.9,21.0,0.0,0.0,0.0,64,13.6,0.0
2023-07-21,27.1,32.0,22.0,0.1,1.0,0.0,36,6.9,0.0
2023-07-22,26.3,30.2,24.0,10.4,10.0,0.0,64,23.2,7.0
2023-07-23,24.6,26.2,23.5,44.3,21.0,0.0,100,23.4,0.5
2023-07-24,25.3,29.0,23.1,14.8,10.0,0.0,90,15.5,0.0
2023-07-25,25.2,28.6,22.4,13.1,19.0,0.0,87,17.0,4.4
2023-07-26,24.8,28.9,22.3,30.4,21.0,0.0,87,16.8,2.5
2023-07-27,25.7,30.8,22.0,2.3,8.0,0.0,90,14.8,0.0
2023-07-28,27.1,32.0,22.7,2.2,3.0,0.0,13,13.6,0.0
2023-07-29,27.6,31.4,24.5,0.2,2.0,0.0,47,13.7,0.0
2023-07-30,27.6,33.1,22.7,0.1,1.0,0.0,58,8.2,0.0
2023-07-31,27.2,31.4,23.5,0.3,2.0,0.0,82,9.8,0.1
2023-08-01,28.1,32.5,23.9,0.3,3.0,0.0,91,8.5,0.1
2023-08-02,27.3,31.0,24.1,0.0,0.0,0.0,88,13.8,0.0
2023-08-03,26.7,31.0,22.4,0.0,0.0,0.0,47,13.8,0.0
2023-08-04,27.8,32.1,23.5,0.0,0.0,0.0,59,12.1,0.0
2023-08-05,27.9,33.6,23.4,0.0,0.0,0.0,42,18.2,0.0
2023-08-06,28.2,31.9,24.6,11.0,3.0,0.0,88,10.9,0.0
2023-08-07,28.2,32.7,24.4,3.5,10.0,0.0,34,16.4,0.0
2023-08-08,28.2,33.7,23.2,3.1,5.0,0.0,25,17.4,0.0
2023-08-09,27.0,31.4,24.0,2.5,3.0,0.0,76,18.7,0.0
2023-08-10,22.0,24.0,20.5,74.6,24.0,0.0,100,25.7,7.9
2023-08-11,22.9,24.5,20.7,30.4,24.0,0.0,100,22.4,1.3
2023-08-12,23.8,26.2,22.2,10.2,17.0,0.0,79,14.8,0.1
2023-08-13,25.7,29.9,22.0,0.2,2.0,0.0,87,9.1,0.0
2023-08-14,26.9,31.3,23.2,0.2,2.0,0.0,20,10.1,0.0
2023-08-15,26.7,30.7,23.3,0.0,0.0,0.0,63,10.1,0.0
